Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees
2024,-,Afghanistan,-,AFG,5766586
2024,-,Anguilla,-,AIA,0
2024,-,Albania,-,ALB,21875
2024,-,Algeria,-,DZA,8800
2024,-,Andorra,-,AND,5
2024,-,Angola,-,AGO,12545
2024,-,"Antigua and Barbuda",-,ATG,91
2024,-,Egypt,-,EGY,23736
2024,-,Argentina,-,ARG,464
2024,-,Armenia,-,ARM,15933
2024,-,Australia,-,AUS,31
2024,-,Austria,-,AUT,33
2024,-,Azerbaijan,-,AZE,153154
2024,-,Bahrain,-,BHR,289
2024,-,Barbados,-,BRB,415
2024,-,Burundi,-,BDI,322462
2024,-,Belgium,-,BEL,93
2024,-,Benin,-,BEN,1064
2024,-,Bermuda,-,BMU,5
2024,-,Bangladesh,-,BGD,28473
2024,-,Bahamas,-,BHS,1449
2024,-,Bhutan,-,BTN,7433
2024,-,"Burkina Faso",-,BFA,150081
2024,-,Belarus,-,BLR,17704
2024,-,"Bolivia (Plurinational State of)",-,BOL,612
2024,-,Botswana,-,BWA,249
2024,-,Brazil,-,BRA,5072
2024,-,"Brunei Darussalam",-,BRN,0
2024,-,"Bosnia and Herzegovina",-,BIH,26821
2024,-,Bulgaria,-,BGR,498
2024,-,"British Virgin Islands",-,VGB,0
2024,-,Belize,-,BLZ,104
2024,-,Cambodia,-,KHM,11474
2024,-,Canada,-,CAN,309
2024,-,"Central African Rep.",-,CAF,693488
2024,-,Chad,-,TCD,14617
2024,-,China,-,CHN,153564
2024,-,Chile,-,CHL,4809
2024,-,Cameroon,-,CMR,109879
2024,-,Congo,-,COG,14110
2024,-,"Dem. Rep. of the Congo",-,COD,1060086
2024,-,Comoros,-,COM,2322
2024,-,Colombia,-,COL,77775
2024,-,"Costa Rica",-,CRI,316
2024,-,Cuba,-,CUB,23865
2024,-,"Curacao ",-,CUW,8
2024,-,"Cabo Verde",-,CPV,14
2024,-,Cyprus,-,CYP,10
2024,-,Czechia,-,CZE,1057
2024,-,Denmark,-,DNK,16
2024,-,Djibouti,-,DJI,2055
2024,-,Dominica,-,DMA,88
2024,-,"Dominican Rep.",-,DOM,1080
2024,-,Ecuador,-,ECU,5015
2024,-,"Equatorial Guinea",-,GNQ,426
2024,-,Eritrea,-,ERI,551296
2024,-,Estonia,-,EST,126
